guess_condition,thisN,thisTrialN,thisRepN,iti,cue,target,end_guess.keys,guess_reached.keys,end_encoding.keys,task_break_resp.keys,scanner_ready_press.keys,skip_trigger.keys,end_cued_recall.keys,recall_reached.keys,recall_reached.rt,recall_reached.duration,recall_selection.keys,end_feedback.keys,recall_selection.rt,recall_selection.duration,guess_conditions.thisRepN,guess_conditions.thisTrialN,guess_conditions.thisN,guess_conditions.thisIndex,iti_learning.thisRepN,iti_learning.thisTrialN,iti_learning.thisN,iti_learning.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,recall_practice.thisRepN,recall_practice.thisTrialN,recall_practice.thisN,recall_practice.thisIndex,iti_recall.thisRepN,iti_recall.thisTrialN,iti_recall.thisN,iti_recall.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,welcome.started,welcome_text.started,welcome.stopped,load_guess_conditions.started,load_guess_conditions.stopped,load_iti.started,load_iti.stopped,instructions1.started,instructions1_text.started,instruction1_key.started,instructions1.stopped,instruction1_key.keys,instruction1_key.rt,instruction1_key.duration,instructions2.started,instructions2_text.started,instruction2_key.started,instructions2.stopped,instruction2_key.keys,instruction2_key.rt,instruction2_key.duration,instructions3.started,instructions3_text.started,instruction3_key.started,instructions3.stopped,instruction3_key.keys,instruction3_key.rt,instruction3_key.duration,instructions4.started,instructions4_text.started,instruction4_key.started,instructions4.stopped,instruction4_key.keys,instruction4_key.rt,instruction4_key.duration,instructions5.started,instructions5_text.started,instruction5_key.started,instructions5.stopped,instruction5_key.keys,instruction5_key.rt,instruction5_key.duration,iti_learning_practice.started,iti_practice_blank.started,iti_practice_blank.stopped,iti_learning_practice.stopped,guess.started,guess.stopped,practice_trials.end_guess.keys,guess_response.started,guess_response.stopped,practice_trials.guess_reached.keys,feedback_guess.started,no_response_feedback.started,no_response_feedback.stopped,feedback_guess.stopped,guess_delay.started,guess_delay.stopped,trial_type,encode.started,dash_stim_learning.started,cue_stim_learning.started,target_stim.started,end_encoding.started,encode.stopped,practice_trials.end_encoding.keys,dash_stim_guessing.started,cue_stim_guessing.started,guess_stim.started,end_guess.started,dash_stim_guessing.stopped,cue_stim_guessing.stopped,guess_stim.stopped,end_guess.stopped,dash_stim_guessing_resp.started,cue_stim_guessing_resp.started,guess_stim_resp.started,guess_question.started,guess_reached.started,dash_stim_guessing_resp.stopped,cue_stim_guessing_resp.stopped,guess_stim_resp.stopped,guess_question.stopped,guess_reached.stopped,guess_delay_cross.started,guess_delay_cross.stopped,dash_stim_learning.stopped,cue_stim_learning.stopped,target_stim.stopped,end_encoding.stopped,start_task.started,start_task_text.started,start_key.started,start_task.stopped,start_key.keys,start_key.rt,start_key.duration,prep_scanner.started,scanner_ready_press.started,ready_set_text.started,prep_scanner.stopped,scanner_ready_press.rt,scanner_ready_press.duration,wait_for_trigger.started,starting_soon.started,skip_trigger.started,wait_for_trigger.stopped,skip_trigger.rt,skip_trigger.duration,begin_run.started,begin_run_cross.started,begin_run.stopped,setup_learning_trial.started,setup_learning_trial.stopped,learning_trials.end_guess.keys,learning_trials.guess_reached.keys,learning_trials.end_encoding.keys,iti_task.started,iti_cross.started,iti_cross.stopped,iti_task.stopped,task_break.started,task_break.stopped,learning_trials.task_break_resp.keys,learning_trials.scanner_ready_press.keys,learning_trials.skip_trigger.keys,end_part1.started,end_part1_key.started,end_part1_text.started,end_part1.stopped,end_part1_key.keys,end_part1_key.rt,end_part1_key.duration,instructions_recall1.started,recall_instructions1_text.started,recall_instructions1_key.started,instructions_recall1.stopped,recall_instructions1_key.keys,recall_instructions1_key.rt,recall_instructions1_key.duration,instructions_recall2.started,recall_instructions1_text_2.started,recall_instructions1_key_2.started,instructions_recall2.stopped,recall_instructions1_key_2.keys,recall_instructions1_key_2.rt,recall_instructions1_key_2.duration,iti_recall_practice.started,iti_recall_practice_cross.started,iti_recall_practice_cross.stopped,iti_recall_practice.stopped,cued_recall.started,cue_stim_recall.started,dash_stim_recall.started,qmark_target.started,end_cued_recall.started,cue_stim_recall.stopped,dash_stim_recall.stopped,qmark_target.stopped,end_cued_recall.stopped,cued_recall.stopped,recall_practice.end_cued_recall.keys,recall_response.started,dash_stim_recall_resp.started,cue_stim_recall_resp.started,recall_stim_resp.started,recall_question.started,recall_reached.started,dash_stim_recall_resp.stopped,cue_stim_recall_resp.stopped,recall_stim_resp.stopped,recall_question.stopped,recall_reached.stopped,recall_response.stopped,recall_practice.recall_reached.keys,recall_practice.recall_reached.rt,recall_practice.recall_reached.duration,recall_select.started,recall_select.stopped,recall_practice.recall_selection.keys,recall_feedback.started,dash_stim_feedback.started,cue_stim_feedback.started,target_stim_feedback.started,end_feedback.started,recall_feedback1.started,recall_feedback2.started,recall_feedback.stopped,recall_practice.end_feedback.keys,dash_stim_feedback.stopped,cue_stim_feedback.stopped,target_stim_feedback.stopped,end_feedback.stopped,recall_feedback1.stopped,recall_feedback2.stopped,dash_stim_recall_select.started,cue_stim_recall_select.started,recall_stim_select.started,recall_question_select.started,recall_selection.started,dash_stim_recall_select.stopped,cue_stim_recall_select.stopped,recall_stim_select.stopped,recall_question_select.stopped,recall_selection.stopped,recall_practice.recall_selection.rt,recall_practice.recall_selection.duration,begin_run_cross.stopped,setup_recall_trial.started,setup_recall_trial.stopped,ID-Nummer,Alter,Geschlecht (optional),date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008005999960005283,0.023425899911671877,3.0092299999669194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,i,p,2025-04-02_11h39.07.665,guess,2024.2.4,60.08279407717408,2025-04-02 11h39.15.569654 +0200,
Read,79,79,0,4.5,,,,,,,,,,,,,,,,,0,79,79,30,0,79,79,48,,,,,,,,,,,,,,,,,,,,,3.040002499939874,,,,,3.021755199879408,3.0222302000038326,3.0326147999148816,3.032676100032404,3.0326896000187844,3.040002499939874,3.040002499939874,12.679521499900147,space,9.627999700140208,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,i,p,2025-04-02_11h39.07.665,guess,2024.2.4,60.08279407717408,2025-04-02 11h39.15.569654 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.679560099961236,12.690721499966457,12.690721499966457,14.145348699996248,space,1.4492045999504626,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,i,p,2025-04-02_11h39.07.665,guess,2024.2.4,60.08279407717408,2025-04-02 11h39.15.569654 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.14539760001935,14.157198299886659,14.157198299886659,17.66193369985558,1,3.493892899947241,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,i,p,2025-04-02_11h39.07.665,guess,2024.2.4,60.08279407717408,2025-04-02 11h39.15.569654 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.661994099849835,17.673852399922907,17.673852399922907,19.677659099921584,1,1.994649700121954,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,i,p,2025-04-02_11h39.07.665,guess,2024.2.4,60.08279407717408,2025-04-02 11h39.15.569654 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.677718200022355,19.69070309982635,19.69070309982635,21.128782900050282,1,1.4326033999677747,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,i,p,2025-04-02_11h39.07.665,guess,2024.2.4,60.08279407717408,2025-04-02 11h39.15.569654 +0200,
,0,0,0,,Frühstück,Brot,None,None,None,,,,,,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,21.140081599820405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.133611500030383,21.140081599820405,23.140142899937928,23.12723289988935,23.129076699959114,23.129114900017157,None,23.13035409990698,23.130382200004533,None,23.131816599983722,23.140142899937928,23.15693899989128,23.141510099871084,23.14153050002642,23.14154340000823,Read,23.142968900036067,23.15693899989128,23.15693899989128,23.15693899989128,23.15693899989128,26.143358199857175,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,i,p,2025-04-02_11h39.07.665,guess,2024.2.4,60.08279407717408,2025-04-02 11h39.15.569654 +0200,
,1,1,0,,Wand,Fenster,None,None,None,,,,,,,,,,,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,26.158087800024077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.14354189997539,26.158087800024077,,28.143902899930254,28.145766499917954,31.144545999821275,None,31.14641629997641,32.64492550003342,None,32.64499519998208,32.65813079988584,34.15789849986322,34.1436385998968,34.14367419993505,37.15788539987989,Guess,37.15971009992063,37.17356969998218,37.17356969998218,37.17356969998218,37.17356969998218,40.16057059983723,None,28.157657000003383,28.157657000003383,28.157657000003383,28.157657000003383,31.157430399907753,31.157430399907753,31.157430399907753,31.157430399907753,31.157430399907753,31.157430399907753,31.157430399907753,31.157430399907753,31.157430399907753,32.65813079988584,32.65813079988584,32.65813079988584,32.65813079988584,32.65813079988584,34.15789849986322,37.17356969998218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,i,p,2025-04-02_11h39.07.665,guess,2024.2.4,60.08279407717408,2025-04-02 11h39.15.569654 +0200,
,2,2,0,,Park,Spielplatz,None,None,None,,,,,,,,,,,,,,,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,40.17415919993073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.160776499891654,40.17415919993073,,42.16002359986305,42.161444099852815,45.16080339998007,None,45.162358299829066,46.66102060000412,None,46.66110819997266,46.67405579984188,48.174065799918026,48.160478399833664,48.16051650000736,51.15921620000154,Guess,51.160769999958575,51.173854999942705,51.173854999942705,51.173854999942705,51.173854999942705,54.15965629997663,None,42.17394079989754,42.17394079989754,42.17394079989754,42.17394079989754,45.173668399918824,45.173668399918824,45.173668399918824,45.173668399918824,45.173668399918824,45.173668399918824,45.173668399918824,45.173668399918824,45.173668399918824,46.67405579984188,46.67405579984188,46.67405579984188,46.67405579984188,46.67405579984188,48.174065799918026,51.173854999942705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,i,p,2025-04-02_11h39.07.665,guess,2024.2.4,60.08279407717408,2025-04-02 11h39.15.569654 +0200,
,3,3,0,,Hund,Pfote,None,None,None,,,,,,,,,,,,,,,,,,,,0,3,3,2,,,,,,,,,,,,,,,,,54.17469719983637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.15980129991658,54.17469719983637,,56.16089109983295,56.16269339993596,56.162737200036645,None,56.16393699985929,56.16397290001623,None,56.16400390001945,56.17405129992403,56.19047539983876,56.17662569996901,56.17666029999964,56.17668539984152,Read,56.17989189992659,56.19047539983876,56.19047539983876,56.19047539983876,56.19047539983876,59.17563099996187,None,,,,,,,,,,,,,,,,,,,,,59.19098059996031,59.19098059996031,59.19098059996031,59.19098059996031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,i,p,2025-04-02_11h39.07.665,guess,2024.2.4,60.08279407717408,2025-04-02 11h39.15.569654 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.175710699986666,59.19098059996031,59.19098059996031,61.9925167998299,1,2.7965712998993695,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,i,p,2025-04-02_11h39.07.665,guess,2024.2.4,60.08279407717408,2025-04-02 11h39.15.569654 +0200,
